what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038077602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038080598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038120987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038123685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038236146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038236162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038236162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038236177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038241049
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038245682
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1319038341934
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1319038342090
error,log,,,"Failed to load properties file for project 'Task_Tree_Activity'",1319038342340
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1319038342433
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1319038342465
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1319038343104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319038343182
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1319038356520
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1319038357363
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1319038357487
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1319038359016
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1319038359032
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1319038359188
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1319038359266
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1319038359422
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1319038360015
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1319038360311
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1319038360451
opened,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1319038360467
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1319038360670
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1319038360732
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1319038360763
