what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1319044203252
java.version,sysinfo,,,"1.7.0",1319044203252
java.vm.info,sysinfo,,,"mixed mode",1319044203252
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1319044203252
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319044203252
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1319044203252
java.vm.specification.version,sysinfo,,,"1.7",1319044203252
java.vm.vendor,sysinfo,,,"Oracle Corporation",1319044203252
java.vm.version,sysinfo,,,"21.0-b17",1319044203252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044231675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044237151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044243484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044243952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044304512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044307351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044314776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044316430
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319044316882
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1319044317116
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1319044317179
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319044317226
closed,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044317226
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1319044318396
opened,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044328988
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044329082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044335275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044416613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044420233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044463460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044464646
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319044464771
closed,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044464771
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1319044466003
opened,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044468624
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044468717
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319044471962
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1319044474271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044480589
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1319044745961
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1319044745977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044752170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044772029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044796240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044797550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044798471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319044847588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044860727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044861392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044861509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044861666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044861808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044861964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1319044862122
